??????????,Are you studying at Chiang Mai University,Have you ever play any online game in the last semester,Gender,Years,Type of game,Hours spend,FPS,Casino,PvE,MOBA, Battle Royale,RTS,MMO, Puzzle,Other,Competitive Action,Role / Progression,Causal / Chance,GType,Game_Type_Merged,ADA1,ADA2,ADA3,ADA4,ADA5,ADA6,ADA7,ADA8,ADA9,ADA10,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,GPA,Game Addiction Total,Game Addiction Level,CP Total,CP Level,,,
7/8/2024 12:55:36,??? (Yes),???? (Yes),LGBTQ+,2,"1. First-Person Shooter Game (FPS), 2. Online Casino Games, 3. Player versus Environment (PvE), 4. Multiplayer Online Battle Arena (MOBA) Games, 6. Real-time Shooter Game (RTS)",4,1,1,1,1,0,1,0,0,0,1,1,1,FPS,Competitive Action,0,0,0,0,1,1,0,0,1,1,3,3,2,5,3,3,4,5,3,3.14,4,Medium,31,Medium,,,
7/8/2024 14:38:04,??? (Yes),???? (Yes),Female,4,"1. First-Person Shooter Game (FPS), 7. Massively Multiplayer Online (MMO) Games, 9. ????? (Other)",4,1,0,0,0,0,0,1,0,1,1,1,1,FPS,Competitive Action,0,0,0,0,1,0,0,0,0,1,5,4,4,5,4,4,4,5,4,3.86,2,Low,39,High,,,
7/8/2024 14:39:07,??? (Yes),???? (Yes),Female,1,"3. Player versus Environment (PvE), 5. Battle Royale Games",5,0,0,1,0,1,0,0,0,0,1,1,0,PvE,Role / Progression,0,0,0,0,1,1,0,0,0,0,4,4,4,5,3,5,5,4,4,3.80,2,Low,38,High,,,
7/8/2024 14:43:08,??? (Yes),???? (Yes),Male,1,"1. First-Person Shooter Game (FPS), 3. Player versus Environment (PvE), 4. Multiplayer Online Battle Arena (MOBA) Games, 5. Battle Royale Games, 8. Puzzle",4,1,0,1,1,1,0,0,1,0,1,1,1,FPS,Competitive Action,1,0,0,0,0,1,0,0,0,0,5,4,3,4,5,3,5,4,5,3.56,2,Low,38,High,,,
7/8/2024 15:00:05,??? (Yes),???? (Yes),Female,3,"4. Multiplayer Online Battle Arena (MOBA) Games, 5. Battle Royale Games, 9. ????? (Other)",3,0,0,0,1,1,0,0,0,1,1,0,1,MOBA,Competitive Action,1,0,0,0,1,1,0,0,0,0,5,4,4,5,4,3,4,4,4,3.10,3,Low,37,High,,,
7/8/2024 16:26:53,??? (Yes),???? (Yes),Female,1,"4. Multiplayer Online Battle Arena (MOBA) Games, 5. Battle Royale Games, 9. ????? (Other)",4,0,0,0,1,1,0,0,0,1,1,0,1,MOBA,Competitive Action,1,0,0,0,0,1,0,0,0,0,5,4,4,5,3,3,4,5,5,3.49,2,Low,38,High,,,
7/11/2024 9:02:15,??? (Yes),???? (Yes),Male,3,"1. First-Person Shooter Game (FPS), 3. Player versus Environment (PvE)",2,1,0,1,0,0,0,0,0,0,1,1,0,FPS,Competitive Action,1,0,1,1,1,1,0,0,1,0,4,3,3,4,4,4,4,4,4,2.50,6,Medium,34,High,,,
7/11/2024 9:02:34,??? (Yes),???? (Yes),Male,1,"1. First-Person Shooter Game (FPS), 3. Player versus Environment (PvE), 9. ????? (Other)",4,1,0,1,0,0,0,0,0,1,1,1,1,FPS,Competitive Action,1,0,0,0,0,1,0,0,0,0,3,4,4,4,4,2,5,4,4,3.71,2,Low,34,High,,,
7/11/2024 9:03:34,??? (Yes),???? (Yes),Male,1,"1. First-Person Shooter Game (FPS), 8. Puzzle",4,1,0,0,0,0,0,0,1,0,1,0,1,FPS,Competitive Action,1,0,1,0,1,1,0,0,1,0,5,5,4,4,5,4,4,4,5,3.11,5,Medium,40,High,,,
7/11/2024 9:04:35,??? (Yes),???? (Yes),LGBTQ+,1,9. ????? (Other),1,0,0,0,0,0,0,0,0,1,0,0,1,Other,Causal / Chance,1,0,0,0,1,1,0,0,0,0,4,3,3,4,3,4,3,4,4,3.49,3,Low,32,Medium,,,
